industry,code
CI005001.WI,000059.SZ
CI005001.WI,000096.SZ
CI005001.WI,000159.SZ
CI005001.WI,000406.SZ
CI005001.WI,000554.SZ
CI005001.WI,000618.SZ
CI005001.WI,000637.SZ
CI005001.WI,000698.SZ
CI005001.WI,000703.SZ
CI005001.WI,000763.SZ
CI005001.WI,000817.SZ
CI005001.WI,000819.SZ
CI005001.WI,000866.SZ
CI005001.WI,000956.SZ
CI005001.WI,000968.SZ
CI005001.WI,000985.SZ
CI005001.WI,002064.SZ
CI005001.WI,002172.SZ
CI005001.WI,002206.SZ
CI005001.WI,002221.SZ
CI005001.WI,002254.SZ
CI005001.WI,002377.SZ
CI005001.WI,002408.SZ
CI005001.WI,002476.SZ
CI005001.WI,002493.SZ
CI005001.WI,002524.SZ
CI005001.WI,002648.SZ
CI005001.WI,002778.SZ
CI005001.WI,002828.SZ
CI005001.WI,300135.SZ
CI005001.WI,300384.SZ
CI005001.WI,600002.SH
CI005001.WI,600028.SH
CI005001.WI,600256.SH
CI005001.WI,600339.SH
CI005001.WI,600346.SH
CI005001.WI,600378.SH
CI005001.WI,600387.SH
CI005001.WI,600583.SH
CI005001.WI,600688.SH
CI005001.WI,600759.SH
CI005001.WI,600777.SH
CI005001.WI,600871.SH
CI005001.WI,601113.SH
CI005001.WI,601233.SH
CI005001.WI,601808.SH
CI005001.WI,601857.SH
CI005001.WI,603026.SH
CI005001.WI,603619.SH
CI005001.WI,603727.SH
CI005001.WI,603798.SH
CI005001.WI,603800.SH
CI005002.WI,000552.SZ
CI005002.WI,000723.SZ
CI005002.WI,000780.SZ
CI005002.WI,000937.SZ
CI005002.WI,000983.SZ
CI005002.WI,002128.SZ
CI005002.WI,002753.SZ
CI005002.WI,600121.SH
CI005002.WI,600123.SH
CI005002.WI,600157.SH
CI005002.WI,600188.SH
CI005002.WI,600348.SH
CI005002.WI,600395.SH
CI005002.WI,600397.SH
CI005002.WI,600403.SH
CI005002.WI,600408.SH
CI005002.WI,600508.SH
CI005002.WI,600546.SH
CI005002.WI,600714.SH
CI005002.WI,600725.SH
CI005002.WI,600740.SH
CI005002.WI,600758.SH
CI005002.WI,600792.SH
CI005002.WI,600971.SH
CI005002.WI,600997.SH
CI005002.WI,601001.SH
CI005002.WI,601011.SH
CI005002.WI,601015.SH
CI005002.WI,601088.SH
CI005002.WI,601101.SH
CI005002.WI,601225.SH
CI005002.WI,601666.SH
CI005002.WI,601699.SH
CI005002.WI,601898.SH
CI005002.WI,601918.SH
CI005002.WI,603113.SH
CI005003.WI,000060.SZ
CI005003.WI,000426.SZ
CI005003.WI,000603.SZ
CI005003.WI,000612.SZ
CI005003.WI,000630.SZ
CI005003.WI,000633.SZ
CI005003.WI,000657.SZ
CI005003.WI,000688.SZ
CI005003.WI,000693.SZ
CI005003.WI,000697.SZ
CI005003.WI,000751.SZ
CI005003.WI,000758.SZ
CI005003.WI,000762.SZ
CI005003.WI,000807.SZ
CI005003.WI,000831.SZ
CI005003.WI,000878.SZ
CI005003.WI,000933.SZ
CI005003.WI,000960.SZ
CI005003.WI,000962.SZ
CI005003.WI,000969.SZ
CI005003.WI,000975.SZ
CI005003.WI,002070.SZ
CI005003.WI,002082.SZ
CI005003.WI,002114.SZ
CI005003.WI,002149.SZ
CI005003.WI,002155.SZ
CI005003.WI,002160.SZ
CI005003.WI,002167.SZ
CI005003.WI,002171.SZ
CI005003.WI,002182.SZ
CI005003.WI,002203.SZ
CI005003.WI,002237.SZ
CI005003.WI,002240.SZ
CI005003.WI,002295.SZ
CI005003.WI,002378.SZ
CI005003.WI,002379.SZ
CI005003.WI,002428.SZ
CI005003.WI,002460.SZ
CI005003.WI,002466.SZ
CI005003.WI,002501.SZ
CI005003.WI,002540.SZ
CI005003.WI,002578.SZ
CI005003.WI,002716.SZ
CI005003.WI,002738.SZ
CI005003.WI,002806.SZ
CI005003.WI,002824.SZ
CI005003.WI,002842.SZ
CI005003.WI,300328.SZ
CI005003.WI,300337.SZ
CI005003.WI,300428.SZ
CI005003.WI,300618.SZ
CI005003.WI,300697.SZ
CI005003.WI,600111.SH
CI005003.WI,600139.SH
CI005003.WI,600205.SH
CI005003.WI,600219.SH
CI005003.WI,600255.SH
CI005003.WI,600259.SH
CI005003.WI,600296.SH
CI005003.WI,600311.SH
CI005003.WI,600330.SH
CI005003.WI,600331.SH
CI005003.WI,600338.SH
CI005003.WI,600362.SH
CI005003.WI,600366.SH
CI005003.WI,600385.SH
CI005003.WI,600390.SH
CI005003.WI,600392.SH
CI005003.WI,600432.SH
CI005003.WI,600456.SH
CI005003.WI,600459.SH
CI005003.WI,600472.SH
CI005003.WI,600489.SH
CI005003.WI,600490.SH
CI005003.WI,600497.SH
CI005003.WI,600531.SH
CI005003.WI,600547.SH
CI005003.WI,600549.SH
CI005003.WI,600595.SH
CI005003.WI,600614.SH
CI005003.WI,600615.SH
CI005003.WI,600673.SH
CI005003.WI,600687.SH
CI005003.WI,600711.SH
CI005003.WI,600766.SH
CI005003.WI,600768.SH
CI005003.WI,600888.SH
CI005003.WI,600961.SH
CI005003.WI,600980.SH
CI005003.WI,600988.SH
CI005003.WI,601020.SH
CI005003.WI,601069.SH
CI005003.WI,601137.SH
CI005003.WI,601168.SH
CI005003.WI,601212.SH
CI005003.WI,601388.SH
CI005003.WI,601600.SH
CI005003.WI,601677.SH
CI005003.WI,601899.SH
CI005003.WI,601958.SH
CI005003.WI,603260.SH
CI005003.WI,603399.SH
CI005003.WI,603527.SH
CI005003.WI,603612.SH
CI005003.WI,603663.SH
CI005003.WI,603799.SH
CI005003.WI,603937.SH
CI005003.WI,603978.SH
CI005003.WI,603979.SH
CI005003.WI,603993.SH
CI005004.WI,000005.SZ
CI005004.WI,000027.SZ
CI005004.WI,000035.SZ
CI005004.WI,000037.SZ
CI005004.WI,000040.SZ
CI005004.WI,000068.SZ
CI005004.WI,000301.SZ
CI005004.WI,000407.SZ
CI005004.WI,000421.SZ
CI005004.WI,000531.SZ
CI005004.WI,000539.SZ
CI005004.WI,000543.SZ
CI005004.WI,000544.SZ
CI005004.WI,000591.SZ
CI005004.WI,000593.SZ
CI005004.WI,000598.SZ
CI005004.WI,000600.SZ
CI005004.WI,000601.SZ
CI005004.WI,000602.SZ
CI005004.WI,000605.SZ
CI005004.WI,000669.SZ
CI005004.WI,000685.SZ
CI005004.WI,000690.SZ
CI005004.WI,000692.SZ
CI005004.WI,000695.SZ
CI005004.WI,000711.SZ
CI005004.WI,000720.SZ
CI005004.WI,000722.SZ
CI005004.WI,000767.SZ
CI005004.WI,000791.SZ
CI005004.WI,000820.SZ
CI005004.WI,000826.SZ
CI005004.WI,000875.SZ
CI005004.WI,000883.SZ
CI005004.WI,000899.SZ
CI005004.WI,000920.SZ
CI005004.WI,000939.SZ
CI005004.WI,000958.SZ
CI005004.WI,000966.SZ
CI005004.WI,000967.SZ
CI005004.WI,000993.SZ
CI005004.WI,001896.SZ
CI005004.WI,002015.SZ
CI005004.WI,002034.SZ
CI005004.WI,002039.SZ
CI005004.WI,002267.SZ
CI005004.WI,002340.SZ
CI005004.WI,002479.SZ
CI005004.WI,002499.SZ
CI005004.WI,002573.SZ
CI005004.WI,002616.SZ
CI005004.WI,002630.SZ
CI005004.WI,002658.SZ
CI005004.WI,002672.SZ
CI005004.WI,002700.SZ
CI005004.WI,002893.SZ
CI005004.WI,002911.SZ
CI005004.WI,300012.SZ
CI005004.WI,300055.SZ
CI005004.WI,300056.SZ
CI005004.WI,300070.SZ
CI005004.WI,300090.SZ
CI005004.WI,300137.SZ
CI005004.WI,300156.SZ
CI005004.WI,300172.SZ
CI005004.WI,300187.SZ
CI005004.WI,300190.SZ
CI005004.WI,300203.SZ
CI005004.WI,300262.SZ
CI005004.WI,300266.SZ
CI005004.WI,300332.SZ
CI005004.WI,300334.SZ
CI005004.WI,300335.SZ
CI005004.WI,300362.SZ
CI005004.WI,300385.SZ
CI005004.WI,300388.SZ
CI005004.WI,300422.SZ
CI005004.WI,300425.SZ
CI005004.WI,300569.SZ
CI005004.WI,300631.SZ
CI005004.WI,300664.SZ
CI005004.WI,300692.SZ
CI005004.WI,600008.SH
CI005004.WI,600011.SH
CI005004.WI,600021.SH
CI005004.WI,600023.SH
CI005004.WI,600025.SH
CI005004.WI,600027.SH
CI005004.WI,600098.SH
CI005004.WI,600101.SH
CI005004.WI,600116.SH
CI005004.WI,600131.SH
CI005004.WI,600167.SH
CI005004.WI,600168.SH
CI005004.WI,600187.SH
CI005004.WI,600217.SH
CI005004.WI,600236.SH
CI005004.WI,600283.SH
CI005004.WI,600292.SH
CI005004.WI,600310.SH
CI005004.WI,600323.SH
CI005004.WI,600333.SH
CI005004.WI,600388.SH
CI005004.WI,600396.SH
CI005004.WI,600452.SH
